	business_id	name	address	city	state	postal_code	latitude	longitude	stars	review_count	is_open	attributes	categories	hours	rid	score	distance	travel_distance	travel_time	score_rank	travel_time_rank	combined_rank
46030	_TRz3BeIyJXecVL9_PaB0g	Little China Chinese Restaurants	1930 N John Young Pkwy	Kissimmee	FL	34741	28.309503	-81.418043	3.5	7	1	"{'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'False', 'GoodForKids': 'False', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}"	Chinese, Restaurants		22971	9.964515686551636e-05	12.61057236957046	6.2	15	1.0	3.0	4.0
42841	ZxXu-xcaJ1_xXAGlNPU24w	Long John Silver's	349 E Semoran Blvd	Fern Park	FL	32730	28.6571478	-81.3364373	1.5	5	1	"{'DriveThru': 'True', 'Alcohol': ""u'none'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'HasTV': 'True'}"	Seafood, Restaurants, Fast Food	{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-23:0', 'Saturday': '10:30-23:0', 'Sunday': '10:30-22:0'}	24636	8.424136047406585e-05	16.3850086721139	10.4	19	2.0	4.0	6.0
35343	hqtlcvoHJ8Xt9MFR1DikLg	Five Guys Burgers and Fries	55 W Church St	Orlando	FL	32801	28.5408774	-81.3805015	4.0	9	0	"{'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}"	Restaurants, Burgers	{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-3:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-21:0'}	7214	5.061762795655878e-05	9.050301617735641	3.6	11	7.0	1.0	8.0
6477	swRNfzV0z1SxBmvxAy3YxA	Brooklyn Pizza	1881 W Fairbanks Ave	Winter Park	FL	32789	28.5933537	-81.3746611	2.5	23	0	"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'HasTV': 'True'}"	Pizza, Restaurants	{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:0'}	12332	4.84441422213911e-05	11.567689662736345	4.3	14	8.0	2.0	10.0
44755	HSsrRxyXObV1Dbe1LCcCMg	La Empanada Food Truck		Orlando	FL	32789	28.5950986	-81.3509416	4.5	13	1	"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'HasTV': 'True', 'WiFi': ""'no'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}"	Cuban, Food, Restaurants, Food Trucks, Empanadas, Food Stands		17833	5.437546113170665e-05	12.704013300240815	17.7	28	4.0	6.5	10.5
2643	P_Cmij3L7OcDLVLaBTqx0w	New General	155 E New England Ave	Winter Park	FL	32789	28.5962044	-81.350016	4.5	70	1	"{'DogsAllowed': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'WiFi': ""'free'"", 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'""}"	Coffee & Tea, Health Markets, Food, Men's Clothing, Women's Clothing, Specialty Food, Cafes, Restaurants, Fashion, Vegan, Breakfast & Brunch, Shopping	{'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-12:0', 'Friday': '8:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:30-15:0'}	50490	5.239871897318685e-05	12.796422672256993	16.3	28	6.0	6.5	12.5
30193	zu1AgY13sSziGlAQtdlHFA	Fuji Express	3201 E Colonial Dr, Ste F3	Orlando	FL	32803	28.5557649	-81.3405927	4.0	7	1	"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}"	Japanese, Restaurants		46836	6.187587094828753e-05	11.666931343120575	51.6	60	3.0	10.0	13.0
7761	yJff3Y9l0GTxjisgnJwg5w	The Wildflower	4947 New Broad St	Orlando	FL	32814	28.568731	-81.326233	4.0	9	1	"{'HasTV': 'True', 'BYOB': 'False', 'OutdoorSeating': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'Smoking': ""u'outdoor'"", 'Corkage': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'full_bar'"", 'Caters': 'True', 'WheelchairAccessible': 'True', 'CoatCheck': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'""}"	Gastropubs, Restaurants, Cafes, Nightlife, Cocktail Bars, Bars	{'Tuesday': '17:0-1:0', 'Wednesday': '17:0-1:0', 'Thursday': '17:0-1:0', 'Friday': '17:0-2:0', 'Saturday': '17:0-2:0'}	21695	5.300537087468e-05	12.866988794316946	17.5	32	5.0	9.0	14.0
4569	nLYPM9DDqmOG9cZTvnCTOA	Betos Mexican Food	103 State Road 436	Fern Park	FL	32730	28.6604831	-81.3415021	4.0	6	0	"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""'casual'"", 'BYOBCorkage': ""'yes_free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Corkage': 'False', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False'}"	Mexican, Restaurants		38005	4.4343693166822815e-05	16.369266816391953	8.8	21	10.0	5.0	15.0
29299	nHkt9Fndqcm01YX5GWHEiw	The Chimi Spot	3900 S Goldenrod Rd	Orlando	FL	32822	28.4910796	-81.285906	4.0	14	1	"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'"", 'HappyHour': 'False', 'OutdoorSeating': 'False', 'BYOB': 'False', 'RestaurantsTableService': 'True', 'WiFi': ""u'free'"", 'Caters': 'True', 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'WheelchairAccessible': 'True'}"	Caribbean, Restaurants, Dominican	{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-0:0'}	10331	4.762410119194483e-05	13.604595825158869	20.9	31	9.0	8.0	17.0
